Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.195,Rio de Janeiro,2022-11-20T20:23:56.664Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.195,Rio de Janeiro,2022-11-14T14:21:28.522Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.195,Rio de Janeiro,2022-11-14T01:12:09.973Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.195,Rio de Janeiro,2022-11-13T17:03:07.965Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.161,Rio de Janeiro,2022-11-13T00:06:02.669Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:18:484b:facf:fa6a:c087:63a5:7ba0,Espírito Santo,2022-11-12T15:23:14.246Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.201,Rio de Janeiro,2022-11-11T22:28:26.085Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.201,Rio de Janeiro,2022-10-13T15:05:58.459Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.201,Rio de Janeiro,2022-10-07T16:25:47.750Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.201,Rio de Janeiro,2022-09-30T00:58:13.206Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.184,Rio de Janeiro,2022-09-27T01:21:04.996Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.184,Rio de Janeiro,2022-09-25T15:45:04.874Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:18:4800:6f0a:97ef:68a7:12d:fb9c,Espírito Santo,2022-09-24T16:44:51.949Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.184,Rio de Janeiro,2022-09-22T23:59:26.211Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.217,Rio de Janeiro,2022-09-20T23:22:22.830Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.217,Rio de Janeiro,2022-09-16T19:03:37.464Z
