Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jessica,BR,Android Phone,0,bec,Backtrace,select,title_results,2022-07-13 00:24:05
Jessica,BR,Android Phone,0,bec,The Old Guard,select,title_results,2022-07-13 00:23:54
Jessica,BR,Android Phone,0,bec,Becoming,select,title_results,2022-07-13 00:23:37
Jessica,BR,Android Phone,0,bec,Kate,add,title_results,2022-07-13 00:23:25
Jessica,BR,Android Phone,0,bec,Kate,select,title_results,2022-07-13 00:23:19
Jessica,BR,Android Phone,0,bec,Beckett,play,title_results,2022-07-13 00:23:05
Jessica,BR,Android Phone,0,bec,Beckett,select,title_results,2022-07-13 00:22:58
Jessica,BR,Smart TV,0,anima,The Secret Life of Pets,play,suggestion_results,2022-07-09 18:13:30
Jessica,BR,Smart TV,0,anima,The Secret Life of Pets,select,suggestion_results,2022-07-09 18:13:23
Jessica,BR,Smart TV,0,anima,,select,suggestion_results,2022-07-09 18:12:58
Jessica,BR,Smart TV,0,anima,,select,suggestion_results,2022-07-09 18:12:24
Jessica,BR,Smart TV,0,doenca,Great White,play,title_results,2022-07-08 21:17:01
Jessica,BR,Smart TV,0,doenca,Great White,select,title_results,2022-07-08 21:16:51
Jessica,BR,Smart TV,0,doenca,A Cure for Wellness,select,title_results,2022-07-08 21:16:27
Jessica,BR,Smart TV,0,doenca,Fractured,select,title_results,2022-07-08 21:16:07
Jessica,BR,Smart TV,0,doenca,,select,title_results,2022-07-08 21:15:48
Jessica,BR,Smart TV,0,cata,Force of Nature,select,suggestion_results,2022-07-08 21:14:22
Jessica,BR,Smart TV,0,cata,Blood Red Sky,select,suggestion_results,2022-07-08 21:14:04
Jessica,BR,Smart TV,0,cata,Dante's Peak,select,suggestion_results,2022-07-08 21:13:52
Jessica,BR,Smart TV,0,cata,Red Eye,select,suggestion_results,2022-07-08 21:13:35
Jessica,BR,Smart TV,0,cata,Evolution,select,suggestion_results,2022-07-08 21:13:23
Jessica,BR,Smart TV,0,cata,As the Light Goes Out,select,suggestion_results,2022-07-08 21:13:05
Jessica,BR,Smart TV,0,cata,,select,suggestion_results,2022-07-08 21:12:59
Jessica,BR,Smart TV,0,cata,,select,suggestion_results,2022-07-08 21:12:49
Jessica,BR,Smart TV,0,cata,Evolution,select,suggestion_results,2022-07-08 21:12:29
Jessica,BR,Smart TV,0,cata,,select,suggestion_results,2022-07-08 21:11:56
Jessica,BR,Smart TV,0,filme de,The Hurt Locker,play,suggestion_results,2022-07-08 00:19:31
Jessica,BR,Smart TV,0,filme de,The Hurt Locker,select,suggestion_results,2022-07-08 00:19:18
Jessica,BR,Smart TV,0,filme de,,select,suggestion_results,2022-07-08 00:18:54
Jessica,BR,Smart TV,0,tsu,Force of Nature,play,title_results,2022-07-06 22:13:39
Jessica,BR,Smart TV,0,tsu,Force of Nature,select,title_results,2022-07-06 22:13:32
Jessica,BR,Smart TV,0,tsu,The Grey,select,title_results,2022-07-06 22:12:33
Jessica,BR,Smart TV,0,tsu,,select,title_results,2022-07-06 22:11:59
Jessica,BR,Android Phone,0,catástrofe ,Force of Nature,select,title_results,2022-07-06 22:08:53
Jessica,BR,Android Phone,0,catástrofe ,Force of Nature,play,title_results,2022-07-06 22:08:29
Jessica,BR,Android Phone,0,catástrofe ,Force of Nature,select,title_results,2022-07-06 22:08:25
Jessica,BR,Android Phone,0,catástrofe ,Daylight,select,title_results,2022-07-06 22:07:51
Jessica,BR,Android Phone,0,catástrofe ,Below Zero,add,title_results,2022-07-06 22:07:42
Jessica,BR,Android Phone,0,catástrofe ,Below Zero,select,title_results,2022-07-06 22:07:40
